RecordID	ProfileID	SeatType	Model	WidthOffset	DepthOffset	HeightOffset	YawOffset	RotationMode	FinalForwardOffset	FinalZOffset	Slots	ApproachOffsets	Flags	Notes
furn_de_bench_03	furn_de_bench_03	bench	meshes/f/furn_de_bench_03.nif	0	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	Dunmer bench; explicit two-slot profile added Patch 7.7

furn_de_r_bench_02	furn_de_r_bench_02	bench	meshes/f/furn_de_bench_02.nif	0	0	3	0	faceOpenSide	-7	-36	seat_a;seat_b;seat_c	front:0:-80:0;back:0:80:0	unsafeIfBlocked	three-slot Redoran bench; measured bench span owns long-axis placement, so no extra width offset

# 3.1-beta placement-specific calibration candidates retained for future variant system (not loaded):
# furn_de_p_bench_03	furn_de_p_bench_03	bench	meshes/f/furn_de_bench_03.nif	-30	65	0	-269	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	log marked likely placement-specific; not promoted globally
# furn_de_p_chair_02	furn_de_p_chair_02	backed_chair	meshes/f/furn_de_chair_02.nif	-5	17	10	165	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Sadrith/Ald-ruhn outlier; log marked placement-specific; not promoted globally
# furn_de_p_chair_02	furn_de_p_chair_02	backed_chair	meshes/f/furn_de_chair_02.nif	-3	12	10	174	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	second outlier export; log marked placement-specific; not promoted globally
# furn_de_p_chair_02	furn_de_p_chair_02	backed_chair	meshes/f/furn_de_chair_02.nif	-5	12	-5	165	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Gateway Inn/Sinyaramen-style outlier; log marked placement-specific; not promoted globally
# furn_de_r_bench_01	furn_de_r_bench_01	bench	meshes/f/furn_de_bench_01.nif	95	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	conflicts with current global row; future chair placement/orientation variant candidate
# furn_de_r_bench_01	furn_de_r_bench_01	bench	meshes/f/furn_de_bench_01.nif	-50	0	0	0	faceOpenSide	-7	-36	seat_a;seat_b	front:0:-80:0;back:0:80:0	unsafeIfBlocked	conflicts with current global row; future chair placement/orientation variant candidate
# furn_com_rm_chair_03	furn_com_rm_chair_03	backed_chair	meshes/f/furn_com_chair_03.nif	-5	11	5	165	respectFurnitureForward	-7	-36	default	front:0:-80:0	unsafeIfBlocked	Cilbergus/table-facing candidate; not promoted globally without chair placement variants
